2026-08-23T01:07:49Z exact-name attempt 1: HTTP 502, 150 bytes
2026-08-23T01:08:09Z exact-name attempt 2: HTTP 502, 150 bytes
2026-08-23T01:08:30Z exact-name attempt 3: HTTP 200, 2 bytes
2026-08-23T01:09:40Z zone attempt 1: HTTP 502, 150 bytes
2026-08-23T01:10:06Z zone attempt 2: HTTP 502, 150 bytes
2026-08-23T01:11:32Z zone attempt 3: HTTP 502, 150 bytes
2026-08-23T01:11:58Z zone attempt 4: HTTP 502, 150 bytes
2026-08-23T01:12:32Z zone attempt 5: HTTP 502, 150 bytes
2026-08-23T01:13:03Z zone attempt 6: HTTP 502, 150 bytes
2026-08-23T01:13:33Z zone attempt 7: HTTP 502, 150 bytes
2026-08-23T01:14:04Z zone attempt 8: HTTP 502, 150 bytes
