# The indicator rewrite's frontier — both dated states, row by row
# As committed by the practice (left) vs as served 2026-08-25 (right; zip sha256 3207b2b7...)
# Left sources: material/night-sky/2026-08-22-prospect/tempelhof-N-2026-08-14--2026-08-21.csv (served 2026-08-22, commit 2effdf5)
#               material/night-sky/2026-08-24-continuing/tempelhof-N-2026-08-22.csv (served 2026-08-24, commit 803e651)
# The 24 rows night 11 already recorded as rewritten (2026-08-20 01:00 .. 2026-08-21 00:00) stand in
# material/night-sky/2026-08-24-continuing/indicator-rewrite-2026-08-20.txt and are not repeated here.
# Below: the rows that moved between the practice's readings of 2026-08-24 and 2026-08-25 —
# every one an indicator move, every cloud value and quality level unchanged.
# MESS_DATUM  committed(QN_8;V_N_I;V_N)  tonight(QN_8;V_N_I;V_N)
2026082101  1;P;7  1;I;7
2026082102  1;P;4  1;I;4
2026082103  1;P;0  1;I;0
2026082104  1;P;0  1;I;0
2026082105  1;P;0  1;I;0
2026082106  1;P;0  1;I;0
2026082107  1;P;7  1;I;7
2026082108  1;P;0  1;I;0
2026082109  1;P;0  1;I;0
2026082110  1;P;0  1;I;0
2026082111  1;P;5  1;I;5
2026082112  1;P;7  1;I;7
2026082113  1;P;8  1;I;8
2026082114  1;P;8  1;I;8
2026082115  1;P;8  1;I;8
2026082116  1;P;8  1;I;8
2026082117  1;P;8  1;I;8
2026082118  1;P;8  1;I;8
2026082119  1;P;8  1;I;8
2026082120  1;P;8  1;I;8
2026082121  1;P;7  1;I;7
2026082122  1;P;8  1;I;8
2026082123  1;P;8  1;I;8
2026082200  1;P;8  1;I;8
