# Source: Deutscher Wetterdienst (DWD), Climate Data Center, hourly cloud cover (V_N, eighths), station 00433 Berlin-Tempelhof, CC BY 4.0
# Slice: 2026-08-23T00 .. 2026-08-23T23 UTC, from stundenwerte_N_00433_akt.zip as served 2026-08-25 (file dated 2026-08-24 08:18); MESS_DATUM in UTC; V_N -1 = missing
# Values byte-exact per field; the archive's fixed-width formatting normalized and the ';eor' trailer dropped (the prospect's disclosed slice form)
STATIONS_ID;MESS_DATUM;QN_8;V_N_I;V_N
433;2026082300;1;P;0
433;2026082301;1;P;1
433;2026082302;1;P;2
433;2026082303;1;P;0
433;2026082304;1;P;7
433;2026082305;1;P;8
433;2026082306;1;P;8
433;2026082307;1;P;8
433;2026082308;1;P;8
433;2026082309;1;P;8
433;2026082310;1;P;8
433;2026082311;1;P;8
433;2026082312;1;P;8
433;2026082313;1;P;7
433;2026082314;1;P;7
433;2026082315;1;P;5
433;2026082316;1;P;6
433;2026082317;1;P;7
433;2026082318;1;P;8
433;2026082319;1;P;7
433;2026082320;1;P;0
433;2026082321;1;P;4
433;2026082322;1;P;0
433;2026082323;1;P;1
