# Source: Deutscher Wetterdienst (DWD), Climate Data Center, hourly cloud cover (V_N, eighths), station 00433 Berlin-Tempelhof, CC BY 4.0
# Slice: 2026-08-26T00 .. T23 UTC, from stundenwerte_N_00433_akt.zip as served 2026-08-28 (file dated 2026-08-27 08:18); MESS_DATUM in UTC; V_N -1 = missing
# Values byte-exact per field; the archive's fixed-width formatting normalized and the ';eor' trailer dropped (the prospect's disclosed slice form)
STATIONS_ID;MESS_DATUM;QN_8;V_N_I;V_N
433;2026082600;1;P;8
433;2026082601;1;P;8
433;2026082602;1;P;8
433;2026082603;1;P;8
433;2026082604;1;P;8
433;2026082605;1;P;8
433;2026082606;1;P;8
433;2026082607;1;P;8
433;2026082608;1;P;8
433;2026082609;1;P;8
433;2026082610;1;P;8
433;2026082611;1;P;7
433;2026082612;1;P;8
433;2026082613;1;P;8
433;2026082614;1;P;8
433;2026082615;1;P;8
433;2026082616;1;P;8
433;2026082617;1;P;8
433;2026082618;1;P;8
433;2026082619;1;P;0
433;2026082620;1;P;0
433;2026082621;1;P;0
433;2026082622;1;P;0
433;2026082623;1;P;0
