# The rewrite frontier — rows re-said between the practice's readings of
# 2026-08-28 (night 13) and 2026-08-29 (night 15). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-08-28 08:18, read tonight.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-08-28: tempelhof-N-2026-08-25.csv
2026082501  1;P;0  ->  1;I;0
2026082502  1;P;0  ->  1;I;0
2026082503  1;P;0  ->  1;I;0
2026082504  1;P;0  ->  1;I;0
2026082505  1;P;0  ->  1;I;0
2026082506  1;P;0  ->  1;I;0
2026082507  1;P;0  ->  1;I;0
2026082508  1;P;0  ->  1;I;0
2026082509  1;P;0  ->  1;I;0
2026082510  1;P;0  ->  1;I;0
2026082511  1;P;4  ->  1;I;4
2026082512  1;P;3  ->  1;I;3
2026082513  1;P;2  ->  1;I;2
2026082514  1;P;6  ->  1;I;6
2026082515  1;P;6  ->  1;I;6
2026082516  1;P;7  ->  1;I;7
2026082517  1;P;8  ->  1;I;8
2026082518  1;P;8  ->  1;I;8
2026082519  1;P;8  ->  1;I;8
2026082520  1;P;7  ->  1;I;7
2026082521  1;P;8  ->  1;I;8
2026082522  1;P;8  ->  1;I;8
2026082523  1;P;8  ->  1;I;8

## committed slice read 2026-08-28: tempelhof-N-2026-08-26.csv
2026082600  1;P;8  ->  1;I;8
