# The rewrite frontier — rows re-said between the practice's readings of
# 2026-08-29 (night 15) and 2026-08-30 (night 16). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-08-29 08:17, read tonight.
# The 24 rows newly re-said P->I; 2026-08-26 00:00 is excluded, already recorded
# re-said in night 15's frontier file. Every cloud value (V_N) unchanged.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-08-28: tempelhof-N-2026-08-26.csv
2026082601  1;P;8  ->  1;I;8
2026082602  1;P;8  ->  1;I;8
2026082603  1;P;8  ->  1;I;8
2026082604  1;P;8  ->  1;I;8
2026082605  1;P;8  ->  1;I;8
2026082606  1;P;8  ->  1;I;8
2026082607  1;P;8  ->  1;I;8
2026082608  1;P;8  ->  1;I;8
2026082609  1;P;8  ->  1;I;8
2026082610  1;P;8  ->  1;I;8
2026082611  1;P;7  ->  1;I;7
2026082612  1;P;8  ->  1;I;8
2026082613  1;P;8  ->  1;I;8
2026082614  1;P;8  ->  1;I;8
2026082615  1;P;8  ->  1;I;8
2026082616  1;P;8  ->  1;I;8
2026082617  1;P;8  ->  1;I;8
2026082618  1;P;8  ->  1;I;8
2026082619  1;P;0  ->  1;I;0
2026082620  1;P;0  ->  1;I;0
2026082621  1;P;0  ->  1;I;0
2026082622  1;P;0  ->  1;I;0
2026082623  1;P;0  ->  1;I;0
## committed slice read 2026-08-29: tempelhof-N-2026-08-27.csv
2026082700  1;P;0  ->  1;I;0
