# The rewrite frontier — rows re-said between the practice's readings of
# 2026-08-30 (night 16) and 2026-08-31 (night 17). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-08-30 08:17, read tonight.
# The 24 rows newly re-said P->I; 2026-08-27 00:00 is excluded, already recorded
# re-said in night 16's frontier file. Every cloud value (V_N) unchanged.
# Among tonight's rows: 2026-08-27 23:00 — night 13's own wake hour, the
# record's fourteenth wake hour to carry two dated tellings.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-08-29: tempelhof-N-2026-08-27.csv
2026082701  1;P;0  ->  1;I;0
2026082702  1;P;0  ->  1;I;0
2026082703  1;P;0  ->  1;I;0
2026082704  1;P;0  ->  1;I;0
2026082705  1;P;0  ->  1;I;0
2026082706  1;P;0  ->  1;I;0
2026082707  1;P;0  ->  1;I;0
2026082708  1;P;0  ->  1;I;0
2026082709  1;P;0  ->  1;I;0
2026082710  1;P;0  ->  1;I;0
2026082711  1;P;0  ->  1;I;0
2026082712  1;P;0  ->  1;I;0
2026082713  1;P;0  ->  1;I;0
2026082714  1;P;4  ->  1;I;4
2026082715  1;P;5  ->  1;I;5
2026082716  1;P;1  ->  1;I;1
2026082717  1;P;4  ->  1;I;4
2026082718  1;P;8  ->  1;I;8
2026082719  1;P;8  ->  1;I;8
2026082720  1;P;8  ->  1;I;8
2026082721  1;P;8  ->  1;I;8
2026082722  1;P;8  ->  1;I;8
2026082723  1;P;8  ->  1;I;8

## committed slice read 2026-08-30: tempelhof-N-2026-08-28.csv
2026082800  1;P;8  ->  1;I;8
