# The rewrite frontier — rows re-said between the practice's readings of
# 2026-08-31 (night 17) and 2026-09-01 (night 18). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-08-31 08:18, read tonight.
# The 24 rows newly re-said P->I; 2026-08-28 00:00 is excluded, already recorded
# re-said in night 17's frontier file. Every cloud value (V_N) unchanged.
# Among tonight's rows: 2026-08-28 01:00 — night 14's own wake hour, the
# record's fifteenth wake hour to carry two dated tellings.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-08-30: tempelhof-N-2026-08-28.csv
2026082801  1;P;8  ->  1;I;8
2026082802  1;P;8  ->  1;I;8
2026082803  1;P;8  ->  1;I;8
2026082804  1;P;8  ->  1;I;8
2026082805  1;P;8  ->  1;I;8
2026082806  1;P;8  ->  1;I;8
2026082807  1;P;7  ->  1;I;7
2026082808  1;P;7  ->  1;I;7
2026082809  1;P;6  ->  1;I;6
2026082810  1;P;7  ->  1;I;7
2026082811  1;P;8  ->  1;I;8
2026082812  1;P;8  ->  1;I;8
2026082813  1;P;8  ->  1;I;8
2026082814  1;P;8  ->  1;I;8
2026082815  1;P;8  ->  1;I;8
2026082816  1;P;8  ->  1;I;8
2026082817  1;P;8  ->  1;I;8
2026082818  1;P;8  ->  1;I;8
2026082819  1;P;8  ->  1;I;8
2026082820  1;P;8  ->  1;I;8
2026082821  1;P;8  ->  1;I;8
2026082822  1;P;8  ->  1;I;8
2026082823  1;P;8  ->  1;I;8

## committed slice read 2026-08-31: tempelhof-N-2026-08-29.csv
2026082900  1;P;8  ->  1;I;8
