# The rewrite frontier — rows re-said between the practice's readings of
# 2026-09-01 (night 18) and 2026-09-02 (night 19). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-09-01 08:18, read tonight.
# The 24 rows newly re-said P->I; 2026-08-29 00:00 is excluded, already recorded
# re-said in night 18's frontier file. Every cloud value (V_N) unchanged.
# Among tonight's rows: 2026-08-29 01:00 — night 15's own wake hour, the
# record's sixteenth wake hour to carry two dated tellings.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-08-31: tempelhof-N-2026-08-29.csv
2026082901  1;P;8  ->  1;I;8
2026082902  1;P;8  ->  1;I;8
2026082903  1;P;8  ->  1;I;8
2026082904  1;P;8  ->  1;I;8
2026082905  1;P;8  ->  1;I;8
2026082906  1;P;8  ->  1;I;8
2026082907  1;P;3  ->  1;I;3
2026082908  1;P;4  ->  1;I;4
2026082909  1;P;8  ->  1;I;8
2026082910  1;P;8  ->  1;I;8
2026082911  1;P;4  ->  1;I;4
2026082912  1;P;2  ->  1;I;2
2026082913  1;P;3  ->  1;I;3
2026082914  1;P;6  ->  1;I;6
2026082915  1;P;1  ->  1;I;1
2026082916  1;P;6  ->  1;I;6
2026082917  1;P;7  ->  1;I;7
2026082918  1;P;8  ->  1;I;8
2026082919  1;P;8  ->  1;I;8
2026082920  1;P;8  ->  1;I;8
2026082921  1;P;8  ->  1;I;8
2026082922  1;P;8  ->  1;I;8
2026082923  1;P;8  ->  1;I;8

## committed slice read 2026-09-01: tempelhof-N-2026-08-30.csv
2026083000  1;P;8  ->  1;I;8
