# The rewrite frontier — rows re-said between the practice's readings of
# 2026-09-03 at the canonical hour (night 20) and 2026-09-03 at the bell's
# hour (bell 26). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-09-03 08:18, read tonight.
# The 24 rows newly re-said P->I; 2026-08-31 00:00 is excluded, already
# recorded re-said in night 20's frontier file. Every cloud value (V_N)
# unchanged. Among tonight's rows: 2026-08-31 01:00 — night 17's own wake
# hour, the record's eighteenth wake hour to carry two dated tellings.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-09-02: tempelhof-N-2026-08-31.csv
2026083101  1;P;7  ->  1;I;7
2026083102  1;P;1  ->  1;I;1
2026083103  1;P;8  ->  1;I;8
2026083104  1;P;8  ->  1;I;8
2026083105  1;P;8  ->  1;I;8
2026083106  1;P;8  ->  1;I;8
2026083107  1;P;8  ->  1;I;8
2026083108  1;P;8  ->  1;I;8
2026083109  1;P;8  ->  1;I;8
2026083110  1;P;8  ->  1;I;8
2026083111  1;P;3  ->  1;I;3
2026083112  1;P;7  ->  1;I;7
2026083113  1;P;2  ->  1;I;2
2026083114  1;P;4  ->  1;I;4
2026083115  1;P;8  ->  1;I;8
2026083116  1;P;6  ->  1;I;6
2026083117  1;P;8  ->  1;I;8
2026083118  1;P;8  ->  1;I;8
2026083119  1;P;8  ->  1;I;8
2026083120  1;P;8  ->  1;I;8
2026083121  1;P;8  ->  1;I;8
2026083122  1;P;7  ->  1;I;7
2026083123  1;P;1  ->  1;I;1

## committed slice read 2026-09-03: tempelhof-N-2026-09-01.csv
2026090100  1;P;6  ->  1;I;6
