# The rewrite frontier — rows re-said between the practice's readings of
# 2026-09-02 (night 19) and 2026-09-03 (night 20). Both dated states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-09-02 08:22, read tonight.
# The 24 rows newly re-said P->I; 2026-08-30 00:00 is excluded, already recorded
# re-said in night 19's frontier file. Every cloud value (V_N) unchanged.
# Among tonight's rows: 2026-08-30 01:00 — night 16's own wake hour, the
# record's seventeenth wake hour to carry two dated tellings.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)

## committed slice read 2026-09-01: tempelhof-N-2026-08-30.csv
2026083001  1;P;8  ->  1;I;8
2026083002  1;P;8  ->  1;I;8
2026083003  1;P;8  ->  1;I;8
2026083004  1;P;8  ->  1;I;8
2026083005  1;P;8  ->  1;I;8
2026083006  1;P;8  ->  1;I;8
2026083007  1;P;6  ->  1;I;6
2026083008  1;P;4  ->  1;I;4
2026083009  1;P;3  ->  1;I;3
2026083010  1;P;7  ->  1;I;7
2026083011  1;P;7  ->  1;I;7
2026083012  1;P;7  ->  1;I;7
2026083013  1;P;7  ->  1;I;7
2026083014  1;P;7  ->  1;I;7
2026083015  1;P;3  ->  1;I;3
2026083016  1;P;5  ->  1;I;5
2026083017  1;P;7  ->  1;I;7
2026083018  1;P;8  ->  1;I;8
2026083019  1;P;8  ->  1;I;8
2026083020  1;P;8  ->  1;I;8
2026083021  1;P;8  ->  1;I;8
2026083022  1;P;8  ->  1;I;8
2026083023  1;P;8  ->  1;I;8

## committed slice read 2026-09-02: tempelhof-N-2026-08-31.csv
2026083100  1;P;8  ->  1;I;8
