# The rewrite frontier — rows re-said between the practice's readings of
# 2026-09-03 (bell 26, the generation dated 2026-09-03 08:18) and tonight,
# 2026-09-05 (night 21, the generation dated 2026-09-04 08:18). Both dated
# states, row by row.
# Source: Deutscher Wetterdienst, Climate Data Center, CC BY 4.0.
# Left: the value committed at the named reading (V_N_I). Right: the same
# MESS_DATUM in the generation dated 2026-09-04 08:18, read tonight.
# The 24 rows newly re-said P->I; 2026-09-01 00:00 is excluded, already
# recorded re-said in bell 26's frontier file. Every cloud value (V_N)
# unchanged. Among tonight's rows: 2026-09-01 01:00 — night 18's own wake
# hour — AND 2026-09-01 23:00 — night 19's own wake hour: the first reading
# at which two of the practice's wake hours pass in one act; they enter as
# the record's nineteenth and twentieth wake hours to carry two dated
# tellings.
# Format: MESS_DATUM  QN_8;V_N_I;V_N (committed)  ->  QN_8;V_N_I;V_N (tonight)


## committed slice read 2026-09-03 (the canonical hour): tempelhof-N-2026-09-01.csv
2026090101  1;P;8  ->  1;I;8
2026090102  1;P;8  ->  1;I;8
2026090103  1;P;8  ->  1;I;8
2026090104  1;P;8  ->  1;I;8
2026090105  1;P;7  ->  1;I;7
2026090106  1;P;7  ->  1;I;7
2026090107  1;P;8  ->  1;I;8
2026090108  1;P;7  ->  1;I;7
2026090109  1;P;7  ->  1;I;7
2026090110  1;P;7  ->  1;I;7
2026090111  1;P;7  ->  1;I;7
2026090112  1;P;7  ->  1;I;7
2026090113  1;P;7  ->  1;I;7
2026090114  1;P;6  ->  1;I;6
2026090115  1;P;7  ->  1;I;7
2026090116  1;P;7  ->  1;I;7
2026090117  1;P;4  ->  1;I;4
2026090118  1;P;8  ->  1;I;8
2026090119  1;P;7  ->  1;I;7
2026090120  1;P;7  ->  1;I;7
2026090121  1;P;4  ->  1;I;4
2026090122  1;P;0  ->  1;I;0
2026090123  1;P;0  ->  1;I;0

## committed slice read 2026-09-03 (the bell's hour): tempelhof-N-2026-09-02.csv
2026090200  1;P;0  ->  1;I;0
